source_id target_id year month day
61954CJ0004 61954CJ0002 1955 2 11
61954CJ0003 61954CJ0002 1955 2 11
61955CJ0005 61954CJ0003 1955 6 28
61955CJ0005 61954CJ0002 1955 6 28
61955CJ0005 61954CJ0001 1955 6 28
61954CJ0007 61954CJ0001 1956 4 23
61955CJ0008(01) 61954CJ0008 1956 11 29
61956CJ0007 61955CJ0001 1957 7 12
61957CJ0001 61955CJ0008 1957 12 10
61956CJ0010 61955CJ0008 1958 6 13
61956CJ0009 61955CJ0008 1958 6 13
61958CJ0042 61958CJ0032 1959 7 17
61958CJ0042 61958CJ0021 1959 7 17
61958CJ0042 61958CJ0020 1959 7 17
61958CJ0042 61958CJ0023 1959 7 17
61958CJ0042 61958CJ0022 1959 7 17
61958CJ0036 61956CJ0009 1959 7 17
61958CJ0036 61955CJ0008 1959 7 17
61958CJ0036 61956CJ0010 1959 7 17
61958CJ0032 61958CJ0021 1959 7 17
61958CJ0032 61958CJ0020 1959 7 17
61958CJ0032 61958CJ0023 1959 7 17
61958CJ0032 61958CJ0022 1959 7 17
61959CJ0014 61957CJ0015 1959 12 17
61959CJ0003 61956CJ0009 1960 3 8
61960CJ0001 61959CJ0023 1960 5 10
61959CJ0036 61956CJ0002 1960 7 15
61959CJ0042 61958CJ0032 1961 3 22
61960CJ0005 61956CJ0009 1961 6 1
61960CJ0005 61958CJ0036 1961 6 1
61960CJ0005 61956CJ0010 1961 6 1
61960CJ0014 61956CJ0009 1961 7 13
61960CJ0025 61959CJ0044 1962 3 1
61960CJ0025 61959CJ0043 1962 3 1
61961CJ0014 61958CJ0032 1962 7 12
61961CJ0014 61959CJ0042 1962 7 12
61961CJ0014 61957CJ0015 1962 7 12
61961CJ0019 61958CJ0032 1962 7 13
61961CJ0019 61959CJ0042 1962 7 13
61961CJ0017 61958CJ0032 1962 7 13
61961CJ0017 61958CJ0042 1962 7 13
61959CJ0046 61959CJ0023 1962 12 14
61959CJ0033 61959CJ0023 1962 12 14
61962CJ0028 61962CJ0026 1963 3 27
61962CJ0036 61958CJ0032 1963 12 16
61963CJ0002 61962CJ0005 1963 12 16
61963CJ0073 61962CJ0028 1964 2 18
61963CJ0073 61962CJ0026 1964 2 18
61963CJ0073 61962CJ0002 1964 2 18
61963CJ0066 61960CJ0013 1964 7 15
61964CJ0024 61963CJ0100 1964 12 2
61963CJ0108 61956CJ0009 1965 1 21
61964CJ0014 61962CJ0018 1965 2 16
61963CJ0070(01) 61963CJ0070 1965 4 7
61964CJ0036 61963CJ0067 1965 6 2
61964CJ0043 61963CJ0070 1965 6 17
61963CJ0111 61959CJ0042 1965 7 13
61964CJ0046 61963CJ0020 1965 7 14
61964CJ0050 61963CJ0070 1965 7 14
61964CJ0050 61958CJ0032 1965 7 14
61964CJ0050 61959CJ0042 1965 7 14
61965CJ0020 61963CJ0070 1965 11 17
61964CJ0055 61963CJ0070 1965 11 17
61965CJ0044 61964CJ0033 1965 12 9
61965CJ0047 61963CJ0070 1965 12 14
61965CJ0005 61963CJ0079 1965 12 14
61965CJ0005 61963CJ0020 1965 12 14
61964CJ0052 61963CJ0070 1965 12 14
61965CJ0012 61963CJ0070 1965 12 14
61963CJ0029(01) 61963CJ0029 1966 6 7
61963CJ0110(01) 61963CJ0110 1966 7 13
61965CJ0028 61964CJ0027 1966 12 15
61965CJ0062 61963CJ0015 1966 12 15
61965CJ0031 61965CJ0028 1966 12 15
61965CJ0059 61965CJ0034 1966 12 15
61965CJ0018(01) 61965CJ0018 1967 3 15
61964CJ0028(01) 61964CJ0024 1967 6 22
61966CJ0005 61963CJ0106 1967 7 14
61966CJ0030 61963CJ0106 1967 11 30
61967CJ0023 61965CJ0056 1967 12 12
61967CJ0028 61965CJ0057 1968 4 3
61967CJ0034 61967CJ0028 1968 4 4
61967CJ0013 61967CJ0028 1968 4 4
61967CJ0025 61965CJ0057 1968 4 4
61967CJ0025 61967CJ0028 1968 4 4
61968CJ0003 61959CJ0027 1968 7 11
61968CJ0029 61967CJ0025 1969 6 24
61964CJ0045(01) 61964CJ0045 1969 11 19
61969CJ0013 61967CJ0035 1970 2 4
61969CJ0046 61968CJ0017 1970 5 13
61968CJ0012(01) 61968CJ0012 1970 5 27
61969CJ0058 61968CJ0015 1970 6 25
61970CJ0033 61970CJ0008 1970 12 17
61970CJ0026 61970CJ0025 1970 12 17
61970CJ0056 61967CJ0003 1971 1 21
61970CJ0038 61970CJ0011 1971 3 10
61970CJ0055 61969CJ0046 1971 5 12
61970CJ0055 61968CJ0017 1971 5 12
61970CJ0077 61970CJ0005 1971 6 16
61970CJ0057 61967CJ0035 1971 6 24
61970CJ0057 61969CJ0013 1971 6 24
61971CJ0018 61968CJ0007 1971 10 26
61971CJ0043 61968CJ0024 1971 12 14
61971CJ0043 61970CJ0008 1971 12 14
61971CJ0040 61969CJ0019 1972 2 17
61971CJ0092 61971CJ0003 1972 4 26
61971CJ0048 61968CJ0007 1972 7 13
61971CJ0048 61971CJ0018 1972 7 13
61972CJ0045 61967CJ0006 1972 12 13
61972CJ0007 61969CJ0045 1972 12 14
61972CJ0039 61971CJ0093 1973 2 7
61972CJ0059 61972CJ0040 1973 7 12
61973CJ0034 61968CJ0024 1973 10 10
61973CJ0034 61970CJ0008 1973 10 10
61973CJ0005 61973CJ0005 1973 10 24
61973CJ0125 61970CJ0076 1973 12 5
61973CJ0121 61964CJ0006 1973 12 11
61973CJ0120 61964CJ0006 1973 12 11
61973CJ0141 61964CJ0006 1973 12 11
61973CJ0122 61964CJ0006 1973 12 11
61966CJ0024(01) 61966CJ0005 1973 12 13
61966CJ0024(01) 61963CJ0106 1973 12 13
61973CJ0154 61973CJ0009 1974 1 15
61973CJ0154 61973CJ0010 1974 1 15
61973CJ0154 61973CJ0005 1974 1 15
61973CJ0146 61973CJ0166 1974 2 12
61973CJ0015 61971CJ0032 1974 2 21
61973CJ0015 61971CJ0020 1974 2 21
61973CJ0006 61969CJ0053 1974 3 6
61973CJ0006 61969CJ0052 1974 3 6
61973CJ0006 61969CJ0048 1974 3 6
61974CJ0002 61965CJ0057 1974 6 21
61973CJ0153 61973CJ0134 1974 7 2
61973CJ0112 61971CJ0078 1974 10 9
61974CJ0036 61974CJ0033 1974 12 12
61974CJ0055 61971CJ0094 1975 1 22
61974CJ0068 61974CJ0009 1975 1 29
61971CJ0031(01) 61971CJ0031 1975 3 12
61975CJ0007 61974CJ0039 1975 6 17
61974CJ0093 61974CJ0034 1975 6 17
61974CJ0094 61972CJ0077 1975 6 18
61974CJ0070 61972CJ0081 1975 6 26
61975CJ0035 61970CJ0014 1975 10 23
61975CJ0064 61974CJ0089 1975 12 9
61975CJ0055 61973CJ0005 1976 1 22
61975CJ0087 61972CJ0029 1976 2 5
61975CJ0045 61965CJ0057 1976 2 17
61975CJ0065 61974CJ0031 1976 2 26
61975CJ0088 61974CJ0031 1976 2 26
61975CJ0048 61975CJ0036 1976 4 8
61975CJ0111 61974CJ0032 1976 5 20
61974CJ0026 61974CJ0034 1976 5 21
61974CJ0056 61972CJ0063 1976 6 2
61974CJ0074(01) 61974CJ0074 1976 6 15
61976CJ0013 61974CJ0036 1976 7 14
61976CJ0013 61974CJ0041 1976 7 14
61976CJ0013 61974CJ0033 1976 7 14
61976CJ0017 61968CJ0019 1976 9 29
61976CJ0017 61971CJ0023 1976 9 29
61976CJ0030 61974CJ0077 1976 11 25
61976CJ0035 61972CJ0029 1976 12 15
61976CJ0035 61975CJ0087 1976 12 15
61976CJ0063 61974CJ0039 1976 12 16
61976CJ0047 61967CJ0023 1977 2 1
61976CJ0047 61975CJ0063 1977 2 1
61976CJ0051 61974CJ0041 1977 2 1
61976CJ0050 61973CJ0034 1977 2 2
61976CJ0052 61975CJ0060 1977 2 3
61976CJ0062 61975CJ0024 1977 2 3
61976CJ0048 61975CJ0009 1977 2 17
61976CJ0044 61975CJ0125 1977 3 2
61975CJ0054(01) 61975CJ0054 1977 3 9
61976CJ0068 61971CJ0051 1977 3 16
61976CJ0078 61974CJ0094 1977 3 22
61976CJ0074 61975CJ0045 1977 3 22
61976CJ0031 61975CJ0066 1977 5 12
61976CJ0105 61972CJ0077 1977 5 25
61976CJ0105 61974CJ0094 1977 5 25
61976CJ0077 61972CJ0077 1977 5 25
61976CJ0077 61975CJ0023 1977 5 25
61976CJ0073 61975CJ0031 1977 6 14
61976CJ0118 61971CJ0096 1977 6 28
61976CJ0118 61976CJ0110 1977 6 28
61976CJ0118 61973CJ0178 1977 6 28
61976CJ0118 61973CJ0005 1977 6 28
61977CJ0011 61974CJ0002 1977 6 28
61977CJ0011 61975CJ0043 1977 6 28
61974CJ0043 61972CJ0053 1977 7 7
61976CJ0089 61973CJ0039 1977 7 12
61976CJ0089 61972CJ0029 1977 7 12
61976CJ0089 61976CJ0046 1977 7 12
61977CJ0009 61976CJ0029 1977 7 14
61976CJ0125 61975CJ0095 1977 10 11
61977CJ0022 61975CJ0024 1977 10 13
61975CJ0056(01) 61975CJ0056 1977 10 13
61977CJ0037 61975CJ0024 1977 10 13
61968CJ0025 61959CJ0044 1977 10 18
61968CJ0025 61959CJ0043 1977 10 18
61976CJ0005(01) 61976CJ0005 1977 10 20
61977CJ0032 61975CJ0024 1977 10 20
61975CJ0126 61974CJ0001 1977 10 27
61977CJ0030 61974CJ0041 1977 10 27
61977CJ0038 61976CJ0051 1977 11 23
61977CJ0065 61974CJ0002 1977 11 24
61977CJ0052 61976CJ0041 1977 11 30
61977CJ0059 61969CJ0010 1977 12 14
61977CJ0059 61972CJ0048 1977 12 14
61977CJ0094 61973CJ0034 1978 1 31
61977CJ0019 61965CJ0056 1978 2 1
61977CJ0019 61969CJ0005 1978 2 1
61977CJ0019 61971CJ0001 1978 2 1
61977CJ0096 61974CJ0074 1978 2 15
61977CJ0088 61977CJ0061 1978 2 16
61977CJ0088 61971CJ0082 1978 2 16
61977CJ0061 61970CJ0022 1978 2 16
61977CJ0061 61976CJ0003 1978 2 16
61977CJ0061 61973CJ0152 1978 2 16
61977CJ0061 61977CJ0088 1978 2 16
61977CJ0106 61976CJ0035 1978 3 9
61977CJ0083 61973CJ0154 1978 3 14
61977CJ0083 61973CJ0140 1978 3 14
61977CJ0098 61977CJ0037 1978 3 14
61977CJ0105 61977CJ0037 1978 3 14
61977CJ0135 61977CJ0001 1978 3 16
61977CJ0080 61963CJ0090 1978 4 20
61977CJ0074 61964CJ0023 1978 4 25
61976CJ0083 61976CJ0119 1978 5 25
61976CJ0083 61976CJ0114 1978 5 25
61976CJ0083 61976CJ0116 1978 5 25
61977CJ0149 61974CJ0021 1978 6 15
61977CJ0149 61970CJ0080 1978 6 15
61977CJ0149 61971CJ0020 1978 6 15
61977CJ0149 61975CJ0043 1978 6 15
61977CJ0028 61971CJ0022 1978 6 20
61977CJ0070 61971CJ0084 1978 6 28
61977CJ0070 61976CJ0046 1978 6 28
61977CJ0154 61975CJ0088 1978 6 29
61977CJ0154 61975CJ0065 1978 6 29
61977CJ0154 61974CJ0031 1978 6 29
61977CJ0142 61974CJ0051 1978 6 29
61977CJ0138 61977CJ0070 1978 7 5
61977CJ0137 61977CJ0070 1978 7 5
61978CJ0008 61976CJ0028 1978 7 13
61978CJ0008 61973CJ0153 1978 7 13
61978CJ0026 61973CJ0143 1978 10 5
61978CJ0026 61977CJ0083 1978 10 5
61977CJ0148 61974CJ0094 1978 10 10
61977CJ0148 61976CJ0078 1978 10 10
61978CJ0013 61974CJ0012 1978 10 12
61978CJ0033 61976CJ0029 1978 11 22
61978CJ0021 61976CJ0051 1978 11 29
61978CJ0083 61976CJ0111 1978 11 29
61978CJ0083 61974CJ0048 1978 11 29
61978CJ0004 61977CJ0122 1978 11 30
61978CJ0004 61971CJ0044 1978 11 30
61978CJ0088 61977CJ0136 1978 11 30
61978CJ0014 61977CJ0005 1978 12 5
61978CJ0098 61973CJ0005 1979 1 25
61978CJ0128 61972CJ0039 1979 2 7
61976CJ0011 61973CJ0150 1979 2 7
61976CJ0085 61976CJ0027 1979 2 13
61976CJ0085 61969CJ0045 1979 2 13
61978CJ0101 61976CJ0083 1979 2 13
61978CJ0101 61976CJ0116 1979 2 13
61978CJ0113 61975CJ0113 1979 2 21
61978CJ0144 61976CJ0079 1979 2 22
61978CJ0092 61956CJ0009 1979 3 6
61978CJ0092 61957CJ0015 1979 3 6
61978CJ0086 61975CJ0045 1979 3 13
61978CJ0086 61975CJ0091 1979 3 13
61978CJ0091 61975CJ0045 1979 3 13
61978CJ0091 61975CJ0091 1979 3 13
61978CJ0091 61976CJ0105 1979 3 13
61978CJ0091 61976CJ0077 1979 3 13
61978CJ0222 61975CJ0023 1979 3 28
61978CJ0222 61976CJ0077 1979 3 28
61978CJ0090 61976CJ0117 1979 3 28
61978CJ0179 61976CJ0041 1979 3 28
61978CJ0179 61977CJ0052 1979 3 28
61978CJ0231 61974CJ0048 1979 3 29
61978CJ0118 61978CJ0231 1979 3 29
61978CJ0148 61976CJ0051 1979 4 5
61978CJ0176 61977CJ0098 1979 4 5
61978CJ0176 61975CJ0024 1979 4 5
61978CJ0002 61974CJ0008 1979 5 16
61978CJ0084 61978CJ0012 1979 5 16
61978CJ0236 61977CJ0098 1979 5 16
61978CJ0236 61975CJ0024 1979 5 16
61978CJ0236 61977CJ0022 1979 5 16
61978CJ0207 61978CJ0009 1979 5 31
61978CJ0182 61977CJ0117 1979 5 31
61978CJ0132 61976CJ0046 1979 5 31
61978CJ0180 61977CJ0098 1979 6 19
61978CJ0180 61975CJ0024 1979 6 19
61978CJ0177 61978CJ0083 1979 6 26
61978CJ0185 61977CJ0061 1979 7 3
61979CJ0007 61974CJ0089 1979 7 4
61979CJ0007 61975CJ0064 1979 7 4
61979CJ0007 61975CJ0010 1979 7 4
61978CJ0223 61975CJ0088 1979 7 12
61978CJ0223 61975CJ0065 1979 7 12
61978CJ0223 61977CJ0154 1979 7 12
61978CJ0223 61974CJ0031 1979 7 12
61978CJ0149 61961CJ0016 1979 7 12
61978CJ0149 61954CJ0001 1979 7 12
61978CJ0153 61978CJ0013 1979 7 12
61978CJ0153 61977CJ0005 1979 7 12
61978CJ0153 61976CJ0035 1979 7 12
61978CJ0153 61977CJ0070 1979 7 12
61978CJ0232 61974CJ0048 1979 9 25
61978CJ0232 61978CJ0231 1979 9 25
61979CJ0023 61974CJ0014 1979 9 27
61978CJ0230 61970CJ0025 1979 9 27
61977CJ0152 61974CJ0101 1979 10 2
61978CJ0178 61978CJ0117 1979 10 2
61978CJ0178 61978CJ0004 1979 10 2
61978CJ0241 61976CJ0124 1979 10 4
61978CJ0241 61976CJ0083 1979 10 4
61978CJ0261 61978CJ0090 1979 10 4
61978CJ0261 61976CJ0083 1979 10 4
61978CJ0261 61976CJ0117 1979 10 4
61978CJ0141 61977CJ0061 1979 10 4
61978CJ0141 61976CJ0003 1979 10 4
61978CJ0141 61978CJ0185 1979 10 4
