node_id title year month day
61954CJ0001 "French Republic v High Authority of the European Coal and Steel Community" 1954 12 21
61954CJ0002 "Italian Republic v High Authority of the European Coal and Steel Community" 1954 12 21
61954CJ0003 "Associazione Industrie Siderurgiche Italiane (ASSIDER) v High Authority of the European Coal and Steel Community" 1955 2 11
61954CJ0004 "Industrie Siderurgiche Associate (ISA) v High Authority of the European Coal and Steel Community" 1955 2 11
61954CJ0006 "Kingdom of the Netherlands v High Authority of the European Coal and Steel Community" 1955 3 21
61955CJ0005 "Associazione Industrie Siderurgiche Italiane (ASSIDER) v High Authority of the European Coal and Steel Community" 1955 6 28
61955CJ0001 "Antoine Kergall v Common Assembly of the European Coal and Steel Community" 1955 7 19
61954CJ0008 "Association des Utilisateurs de Charbon du Grand-Duché de Luxembourg v High Authority of the European Coal and Steel Community" 1956 4 23
61954CJ0007 "Groupement des Industries Sidérurgiques Luxembourgeoises v High Authority of the European Coal and Steel Community" 1956 4 23
61955CJ0008 "Fédération Charbonnière de Belgique v High Authority of the European Coal and Steel Community" 1956 7 16
61955CJ0008(01) "Fédération Charbonnière de Belgique v High Authority of the European Coal and Steel Community" 1956 11 29
61955CJ0009 "N. V. Kolenmijnen van Beeringen, N.V. Kolenmijnen van Houthalen, N. V. Kolenmijnen van Helchteren en Zolder v High Authority of the European Coal and Steel Community" 1956 11 29
61955CJ0010 "Miranda Mirossevich v High Authority of the European Coal and Steel Community" 1956 12 12
61956CJ0001 "M. René Bourgaux v Common Assembly of the European Coal and Steel Community" 1956 12 17
61956CJ0002 "Mining undertakings of the Ruhr Basin being members of the Geitling selling agency for Ruhr coal, and the Geitling selling agency for Ruhr coal v High Authority of the European Coal and Steel Community" 1957 3 20
61956CJ0007 "Dineke Algera, Giacomo Cicconardi, Simone Couturaud, Ignazio Genuardi, Félicie Steichen v Common Assembly of the European Coal and Steel Community" 1957 7 12
61956CJ0008 "Acciaierie Laminatoi Magliano Alpi (A.L.M.A.) v High Authority of the European Coal and Steel Community" 1957 12 10
