node_id title year month day
332/57 "CASE OF LAWLESS v IRELAND No 1" 1960 11 14
214/56 "CASE OF DE BECKER v BELGIUM" 1962 3 27
1474/62 "CASE RELATING TO CERTAIN ASPEC" 1967 2 9
2122/64 "CASE OF WEMHOFF v GERMANY" 1968 6 27
2178/64 "CASE OF MATZNETTER v AUSTRIA" 1969 11 10
1602/62 "CASE OF STGMLLER v AUSTRIA" 1969 11 10
2689/65 "CASE OF DELCOURT v BELGIUM" 1970 1 17
2832/66 "CASES OF DE WILDE OOMS AND VER" 1970 11 18
2614/65 "CASE OF RINGEISEN v AUSTRIA ME" 1971 7 16
1936/63 "CASE OF NEUMEISTER v AUSTRIA A" 1974 5 7
4451/70 "CASE OF GOLDER v THE UNITED KI" 1975 2 21
4464/70 "CASE OF NATIONAL UNION OF BELG" 1975 10 27
5614/72 "CASE OF SWEDISH ENGINE DRIVERS" 1976 2 6
5589/72 "CASE OF SCHMIDT AND DAHLSTRM v" 1976 2 6
5100/71 "CASE OF ENGEL AND OTHERS v THE" 1976 11 23
5493/72 "CASE OF HANDYSIDE v THE UNITED" 1976 12 7
5095/71 "CASE OF KJELDSEN BUSK MADSEN A" 1976 12 7
5310/71 "CASE OF IRELAND v THE UNITED K" 1978 1 18
5856/72 "CASE OF TYRER v THE UNITED KIN" 1978 4 25
5029/71 "CASE OF KLASS AND OTHERS v GER" 1978 9 6
6833/74 "CASE OF MARCKX v BELGIUM" 1979 6 13
7710/76 "CASE OF SCHIESSER v SWITZERLAN" 1979 12 4
6903/75 "CASE OF DEWEER v BELGIUM" 1980 2 27
6232/73 "CASE OF KNIG v GERMANY ARTICLE" 1980 3 10
6210/73 "CASE OF LUEDICKE BELKACEM AND" 1980 3 10
6694/74 "CASE OF ARTICO v ITALY" 1980 5 13
7367/76 "CASE OF GUZZARDI v ITALY" 1980 11 6
7654/76 "CASE OF VAN OOSTERWIJCK v BELG" 1980 11 6
6538/74 "CASE OF THE SUNDAY TIMES v THE" 1980 11 6
6289/73 "CASE OF AIREY v IRELAND ARTICL" 1981 2 6
7759/77 "CASE OF BUCHHOLZ v GERMANY" 1981 5 6
6301/73 "CASE OF WINTERWERP v THE NETHE" 1981 11 27
8269/78 "CASE OF ADOLF v AUSTRIA" 1982 3 26
7601/76 "CASE OF YOUNG JAMES AND WEBSTE" 1982 10 18
7215/75 "CASE OF X v THE UNITED KINGDOM" 1982 10 18
6878/75 "CASE OF LE COMPTE VAN LEUVEN A" 1982 10 18
8304/78 "CASE OF CORIGLIANO v ITALY" 1982 12 10
7525/76 "CASE OF DUDGEON v THE UNITED K" 1983 2 24
7511/76 "CASE OF CAMPBELL AND COSANS v" 1983 3 22
8660/79 "CASE OF MINELLI v SWITZERLAND" 1983 3 25
8398/78 "CASE OF PAKELLI v GERMANY" 1983 4 25
7906/77 "CASE OF VAN DROOGENBROECK v BE" 1983 4 25
8130/78 "CASE OF ECKLE v GERMANY ARTICL" 1983 6 21
8737/79 "CASE OF ZIMMERMANN AND STEINER" 1983 7 13
5947/72 "CASE OF SILVER AND OTHERS v TH" 1983 10 24
7299/75 "CASE OF ALBERT AND LE COMPTE v" 1983 10 24
7604/76 "CASE OF FOTI AND OTHERS v ITAL" 1983 11 21
8919/80 "CASE OF VAN DER MUSSELE v BELG" 1983 11 23
8273/78 "CASE OF AXEN v GERMANY" 1983 12 8
7984/77 "CASE OF PRETTO AND OTHERS v IT" 1983 12 8
8209/78 "CASE OF SUTTER v SWITZERLAND" 1984 2 22
9019/80 "AFFAIRE LUBERTI c ITALIE" 1984 2 23
8966/80 "CASE OF GODDI v ITALY" 1984 4 9
8805/79 "CASE OF DE JONG BALJET AND VAN" 1984 5 22
9362/81 "CASE OF VAN DER SLUIJS ZUIDERV" 1984 5 22
9626/81 "CASE OF DUINHOF AND DUIJF v TH" 1984 5 22
7819/77 "CASE OF CAMPBELL AND FELL v TH" 1984 6 28
8990/80 "CASE OF GUINCHO v PORTUGAL" 1984 7 10
8582/79 "CASE OF SKOOGSTRM v SWEDEN" 1984 10 2
8790/79 "CASE OF SRAMEK v AUSTRIA" 1984 10 22
8544/79 "CASE OF ZTRK v GERMANY ARTICLE" 1984 10 23
9017/80 "CASE OF McGOFF v SWEDEN" 1984 10 26
8692/79 "CASE OF PIERSACK v BELGIUM ART" 1984 10 26
8777/79 "CASE OF RASMUSSEN v DENMARK" 1984 11 28
7151/75 "CASE OF SPORRONG AND LNNROTH v" 1984 12 18
9317/81 "CASE OF RUBINAT v ITALY" 1985 2 12
9024/80 "CASE OF COLOZZA v ITALY" 1985 2 12
8978/80 "CASE OF X AND Y v THE NETHERLA" 1985 3 26
8691/79 "CASE OF MALONE v THE UNITED KI" 1985 4 26
8225/78 "CASE OF ASHINGDANE v THE UNITE" 1985 5 28
9214/80 "CASE OF ABDULAZIZ CABALES AND" 1985 5 28
9621/81 "CASE OF VALLON v ITALY" 1985 6 3
9300/81 "CASE OF CAN v AUSTRIA" 1985 9 30
8848/80 "CASE OF BENTHEM v THE NETHERLA" 1985 10 23
8734/79 "CASE OF BARTHOLD v GERMANY ART" 1986 1 31
8793/79 "CASE OF JAMES AND OTHERS v THE" 1986 2 21
9384/81 "CASE OF DEUMELAND v GERMANY" 1986 5 29
8658/79 "CASE OF BNISCH v AUSTRIA ARTIC" 1986 6 2
8543/79 "CASE OF VAN MARLE AND OTHERS v" 1986 6 26
9815/82 "CASE OF LINGENS v AUSTRIA" 1986 7 8
9006/80 "CASE OF LITHGOW AND OTHERS v T" 1986 7 8
9228/80 "CASE OF GLASENAPP v GERMANY" 1986 8 28
9704/82 "CASE OF KOSIEK v GERMANY" 1986 8 28
9532/81 "CASE OF REES v THE UNITED KING" 1986 10 17
9862/82 "CASE OF SANCHEZ-REISSE v SWITZ" 1986 10 21
9118/80 "CASE OF AGOSI v THE UNITED KIN" 1986 10 24
9120/80 "CASE OF UNTERPERTINGER v AUSTR" 1986 11 24
9697/82 "CASE OF JOHNSTON AND OTHERS v" 1986 12 18
9562/81 "CASE OF MONNELL AND MORRIS v T" 1987 3 2
9267/81 "CASE OF MATHIEU-MOHIN AND CLER" 1987 3 2
9248/81 "CASE OF LEANDER v SWEDEN" 1987 3 26
9273/81 "CASE OF ETTL AND OTHERS v AUST" 1987 4 23
9316/81 "CASE OF LECHNER AND HESS v AUS" 1987 4 23
10256/83 "CASE OF BAGGETTA v ITALY" 1987 6 25
9381/81 "CASE OF CAPUANO v ITALY" 1987 6 25
10527/83 "CASE OF MILASI v ITALY" 1987 6 25
10092/82 "CASE OF BARAONA v PORTUGAL" 1987 7 8
8562/79 "CASE OF FELDBRUGGE v THE NETHE" 1987 7 27
10282/83 "CASE OF ENGLERT v GERMANY" 1987 8 25
10300/83 "CASE OF NLKENBOCKHOFF v GERMAN" 1987 8 25
9912/82 "CASE OF LUTZ v GERMANY" 1987 8 25
9063/80 "CASE OF GILLOW v THE UNITED KI" 1987 9 14
9186/80 "CASE OF DE CUBBER v BELGIUM AR" 1987 9 14
9616/81 "CASE OF ERKNER AND HOFAUER v A" 1987 9 29
9816/82 "CASE OF POISS v AUSTRIA ARTICL" 1987 9 29
10930/84 "CASE OF BODN v SWEDEN" 1987 10 27
10426/83 "CASE OF PUDAS v SWEDEN" 1987 10 27
8695/79 "CASE OF INZE v AUSTRIA" 1987 10 28
9976/82 "CASE OF BEN YAACOUB v BELGIUM" 1987 11 27
8950/80 "CASE OF H v BELGIUM" 1987 11 30
9990/82 "CASE OF BOZANO v FRANCE ARTICL" 1987 12 2
11329/85 "CASE OF F v SWITZERLAND" 1987 12 18
10465/83 "CASE OF OLSSON v SWEDEN No 1" 1988 3 24
